start_of_week,deceduti_diff,data_end_week,year,week_number
2024-01-04 17:00:00,355.0,2024-01-10 17:00:00,2024,119
2024-01-11 17:00:00,258.0,2024-01-17 17:00:00,2024,120
2024-01-18 17:00:00,203.0,2024-01-24 17:00:00,2024,121
2024-01-25 17:00:00,115.0,2024-01-31 17:00:00,2024,122
2024-02-01 17:00:00,95.0,2024-02-07 17:00:00,2024,123
2024-02-08 17:00:00,92.0,2024-02-14 17:00:00,2024,124
2024-02-15 17:00:00,52.0,2024-02-21 17:00:00,2024,125
2024-02-22 17:00:00,39.0,2024-02-28 17:00:00,2024,126
2024-02-29 17:00:00,31.0,2024-03-06 17:00:00,2024,127
2024-03-07 17:00:00,41.0,2024-03-13 17:00:00,2024,128
2024-03-14 17:00:00,26.0,2024-03-20 17:00:00,2024,129
2024-03-21 17:00:00,20.0,2024-03-27 17:00:00,2024,130
2024-03-28 17:00:00,21.0,2024-04-03 17:00:00,2024,131
2024-04-04 17:00:00,15.0,2024-04-10 17:00:00,2024,132
2024-04-11 17:00:00,9.0,2024-04-17 17:00:00,2024,133
2024-04-18 17:00:00,7.0,2024-04-24 17:00:00,2024,134
2024-04-25 17:00:00,9.0,2024-05-01 17:00:00,2024,135
2024-05-02 17:00:00,9.0,2024-05-08 17:00:00,2024,136
2024-05-09 17:00:00,17.0,2024-05-15 17:00:00,2024,137
2024-05-16 17:00:00,8.0,2024-05-22 17:00:00,2024,138
2024-05-23 17:00:00,10.0,2024-05-29 17:00:00,2024,139
