start_of_week,deceduti_diff,data,year,week_number
2022-06-17 17:00:00,350.0,2022-06-23 17:00:00,2022,38
2022-06-24 17:00:00,386.0,2022-06-30 17:00:00,2022,39
2022-07-01 17:00:00,511.0,2022-07-07 17:00:00,2022,40
2022-07-08 17:00:00,737.0,2022-07-14 17:00:00,2022,41
2022-07-15 17:00:00,926.0,2022-07-21 17:00:00,2022,42
2022-07-22 17:00:00,1111.0,2022-07-28 17:00:00,2022,43
2022-07-29 17:00:00,1091.0,2022-08-04 17:00:00,2022,44
2022-08-05 17:00:00,972.0,2022-08-11 17:00:00,2022,45
2022-08-12 17:00:00,746.0,2022-08-18 17:00:00,2022,46
2022-08-19 17:00:00,680.0,2022-08-25 17:00:00,2022,47
